"Garvey, Raven",,,,,,,,
Current and potential roles for archaeology in the development of cultural evolutionary theory,,,,,,,,
Philosophical Transactions B,,,,,,,,
17-Nov-17,,,,,,,,
,,,,,,,,
projectile point attribute measurements used in simulation of within-house learning:,,,,,,,,
wash_weight,wash_thick,wash_length,wash_midlength,wash_width,wash_basewidth,wash_bladelength,wash_haftlength,wash_neck
1,2.75,22.43,21.28,11.86,11.78,15.76,6.41,6.01
1.3,2.76,22.49,21.36,11.86,11.78,15.77,6.42,6.02
1.32,2.76,22.49,21.37,11.86,11.79,15.78,6.43,6.02
,2.76,22.6,21.63,11.89,11.81,15.83,6.43,6.03
,2.77,22.62,21.65,11.93,11.82,16.17,6.44,6.03
,2.77,22.65,21.67,11.93,11.82,16.28,6.44,6.07
,2.78,22.65,21.72,11.93,11.85,16.37,6.44,6.08
,2.78,22.66,21.77,11.95,11.85,16.5,6.44,6.1
,2.78,22.72,21.87,11.96,11.86,16.51,6.44,6.1
,2.79,22.78,21.9,12.08,11.89,16.56,6.45,6.1
,2.79,22.81,21.95,12.08,11.9,16.69,6.46,6.11
,2.8,22.83,21.95,12.09,11.93,16.71,6.46,6.12
,2.8,23.01,22.15,12.11,11.94,16.76,6.47,6.12
,2.8,23.11,22.15,12.12,11.95,16.85,6.53,6.12
,2.8,23.13,22.2,12.14,11.96,16.88,6.53,6.14
,2.82,23.52,22.25,12.15,12.04,16.91,6.54,6.16
,2.82,23.53,22.38,12.15,12.08,16.91,6.58,6.17
,2.82,23.56,22.51,12.15,12.08,16.96,6.6,6.17
,2.82,23.6,22.56,12.15,12.09,17,6.6,6.2
,2.83,23.6,22.72,12.16,12.12,17.02,6.61,6.21
,2.84,23.97,22.77,12.16,12.12,17.09,6.62,6.21
,2.84,24.03,22.83,12.18,12.13,17.25,6.63,6.21
,2.85,24.04,23.11,12.18,12.14,17.46,6.63,6.24
,2.86,24.07,23.13,12.19,12.15,17.52,6.63,6.25
,2.86,24.17,23.21,12.2,12.15,17.53,6.65,6.26
,2.86,24.58,23.26,12.27,12.16,17.64,6.66,6.26
,2.87,24.58,23.36,12.28,12.16,17.69,6.67,6.29
,2.88,24.78,23.36,12.34,12.18,17.73,6.69,6.29
,2.88,25.01,23.5,12.41,12.18,17.73,6.7,6.3
,2.89,25.12,23.65,12.43,12.19,17.77,6.7,6.31
,2.89,25.27,23.7,12.44,12.27,17.79,6.7,6.32
,2.89,25.42,23.87,12.48,12.27,18.27,6.72,6.33
,2.89,25.46,24.03,12.48,12.34,18.28,6.72,6.34
,2.9,25.69,24.33,12.5,12.43,18.49,6.74,6.36
,2.9,25.75,24.49,12.54,12.54,18.55,6.74,6.37
,2.9,26.34,24.61,12.6,12.56,18.67,6.74,6.4
,2.91,26.64,24.67,12.63,12.6,18.79,6.75,6.41
,2.91,26.69,24.99,12.63,12.63,19,6.75,6.44
,2.91,26.75,25.06,12.69,12.63,19.81,6.77,6.44
,2.91,26.89,25.83,12.71,12.69,20.16,6.79,6.44
,2.91,27.01,25.85,12.75,12.71,20.27,6.87,6.44
,2.92,27.02,26.22,12.77,12.75,20.74,6.9,6.45
,2.92,27.44,26.28,12.8,12.77,21.62,6.9,6.46
,2.92,28.92,27.35,12.81,12.8,22.32,6.9,6.47
,2.92,29.11,27.4,12.82,12.81,22.46,6.91,6.5
,2.92,29.19,27.71,12.84,12.81,23.14,6.95,6.51
,2.93,30.06,28.03,12.87,12.84,23.68,6.98,6.51
,2.95,30.24,28.3,12.94,12.87,24.35,7,6.53
,2.95,31.03,28.4,13.13,12.94,25.23,7.03,6.55
,2.96,31.2,28.98,13.2,13.13,25.8,7.05,6.56
,2.96,31.58,30.88,13.2,13.2,26.58,7.06,6.56
,2.97,32.29,31.37,13.22,13.22,,7.08,6.58
,2.97,,,13.22,13.3,,7.1,6.6
,2.97,,,13.3,13.31,,7.12,6.61
,2.98,,,13.32,13.38,,7.13,6.61
,2.98,,,13.38,13.45,,7.13,6.61
,3,,,13.42,13.52,,7.14,6.61
,3.01,,,13.45,13.65,,7.15,6.64
,3.02,,,13.52,13.66,,7.15,6.66
,3.04,,,13.55,13.76,,7.24,6.67
,3.04,,,13.65,13.85,,7.25,6.67
,3.04,,,13.66,13.93,,7.31,6.68
,3.06,,,13.76,13.99,,7.32,6.69
,3.07,,,13.85,14.19,,7.33,6.7
,3.07,,,13.93,14.27,,7.33,6.7
,3.08,,,13.99,14.33,,7.34,6.71
,3.09,,,14.19,14.4,,7.35,6.71
,3.09,,,14.19,14.42,,7.36,6.72
,3.1,,,14.24,14.51,,7.36,6.73
,3.12,,,14.27,14.56,,7.38,6.75
,3.12,,,14.33,14.59,,7.4,6.79
,3.12,,,14.4,15.12,,7.41,6.83
,3.12,,,14.42,15.34,,7.43,6.84
,3.12,,,14.51,,,7.44,6.86
,3.12,,,14.56,,,7.48,6.86
,3.13,,,14.59,,,7.5,6.86
,3.13,,,15.34,,,7.52,6.87
,3.15,,,16.26,,,7.54,6.88
,3.15,,,,,,7.57,6.89
,3.16,,,,,,7.59,6.9
,3.17,,,,,,7.59,6.91
,3.17,,,,,,7.61,6.94
,3.18,,,,,,7.63,6.94
,3.18,,,,,,7.64,6.99
,3.19,,,,,,7.64,7.01
,3.19,,,,,,7.69,7.01
,3.2,,,,,,7.7,7.02
,3.2,,,,,,7.72,7.02
,3.2,,,,,,7.74,7.04
,3.2,,,,,,7.75,7.06
,3.21,,,,,,7.76,7.12
,3.21,,,,,,7.81,7.12
,3.21,,,,,,7.83,7.12
,3.22,,,,,,7.92,7.14
,3.22,,,,,,7.92,7.18
,3.23,,,,,,7.92,7.2
,3.23,,,,,,7.92,7.22
,3.23,,,,,,7.93,7.24
,3.24,,,,,,7.95,7.25
,3.24,,,,,,7.98,7.25
,3.24,,,,,,8.01,7.27
,3.25,,,,,,8.02,7.27
,3.25,,,,,,8.05,7.27
,3.26,,,,,,8.08,7.27
,3.27,,,,,,8.09,7.31
,3.28,,,,,,8.13,7.32
,3.28,,,,,,8.14,7.34
,3.3,,,,,,8.19,7.37
,3.33,,,,,,8.25,7.39
,3.35,,,,,,8.31,7.39
,3.35,,,,,,8.32,7.41
,3.35,,,,,,8.36,7.41
,3.35,,,,,,8.37,7.51
,3.35,,,,,,8.43,7.52
,3.36,,,,,,8.46,7.56
,3.36,,,,,,8.54,7.6
,3.36,,,,,,8.63,7.61
,3.36,,,,,,8.64,7.61
,3.36,,,,,,8.73,7.62
,3.36,,,,,,8.75,7.66
,3.37,,,,,,8.78,7.67
,3.39,,,,,,8.82,7.74
,3.4,,,,,,8.83,7.75
,3.41,,,,,,8.9,7.79
,3.42,,,,,,8.94,7.79
,3.43,,,,,,8.98,7.82
,3.44,,,,,,9.02,7.87
,3.45,,,,,,9.02,7.88
,3.5,,,,,,9.07,7.88
,3.5,,,,,,9.3,7.9
,3.52,,,,,,9.36,7.9
,3.53,,,,,,9.46,7.91
,3.53,,,,,,9.47,7.99
,3.53,,,,,,9.56,7.99
,3.56,,,,,,9.64,8.05
,3.56,,,,,,9.68,8.06
,3.56,,,,,,9.93,8.07
,3.57,,,,,,10.04,8.16
,3.6,,,,,,10.33,8.21
,3.61,,,,,,10.35,8.24
,3.62,,,,,,10.74,8.27
,3.62,,,,,,10.9,8.31
,3.63,,,,,,11.24,8.34
,3.63,,,,,,,8.37
,3.64,,,,,,,8.38
,3.64,,,,,,,8.4
,3.65,,,,,,,8.47
,3.65,,,,,,,8.55
,3.65,,,,,,,8.57
,3.66,,,,,,,8.63
,3.69,,,,,,,8.66
,3.7,,,,,,,8.68
,3.71,,,,,,,8.74
,3.72,,,,,,,8.78
,3.72,,,,,,,8.8
,3.73,,,,,,,8.85
,3.77,,,,,,,8.94
,3.84,,,,,,,8.96
,3.85,,,,,,,9.03
,3.87,,,,,,,9.14
,3.88,,,,,,,9.47
,3.92,,,,,,,9.62
,3.94,,,,,,,9.85
,3.94,,,,,,,9.89
,3.97,,,,,,,10.18
,4,,,,,,,
,4.09,,,,,,,
,4.11,,,,,,,
,4.34,,,,,,,
,4.35,,,,,,,
,4.37,,,,,,,
,4.56,,,,,,,
,4.61,,,,,,,
,5.94,,,,,,,
,7.51,,,,,,,
